# Characters of text keys that the default MySQL/MariaDB collations compare exactly like Access (05, Collation).
# code point, weight under utf8mb4_0900_as_ci (MySQL), weight under utf8mb4_uca1400_as_ci (MariaDB), safe (1/0).
# Weights: HEX(WEIGHT_STRING(<char> COLLATE <collation>)), measured on MySQL 8.0/8.4 and MariaDB 10.11/11.4/11.8;
# the integration matrix re-measures them (CollationWeightsIT, -Dcollation.update=true rewrites them).
# safe: derived by KeyTextSafetyTest from the weights and Access's own index encoding (Jackcess); rewrite with
# -Dcollation.update=true. Never edit by hand.
0197	1D4100000020	21760020	1
0198	1D6B00000020	21A20020	1
0199	1D6B00000020	21A20020	1
019A	1D8200000020	21BB0020	1
019B	1DA200000020	21DF0020	1
019C	1ED400000020	23220020	1
019D	1DC400000020	22020020	1
019E	1DC800000020	22060020	1
019F	1DFD00000020	223E0020	1
01A0	1DDD00000020003F	221D0020003F	1
01A1	1DDD00000020003F	221D0020003F	1
01A2	1D1400000020	21480020	1
01A3	1D1400000020	21480020	1
01A4	1E1500000020	22560020	1
01A5	1E1500000020	22560020	1
01A6	1E3800000020	227A0020	1
01A7	1F6900000020	23BA0020	1
01A8	1F6900000020	23BA0020	1
01A9	1E8200000020	22CA0020	1
01AA	1E8800000020	22D10020	1
01AB	1EA000000020	22EA0020	1
01AC	1EA400000020	22EE0020	1
01AD	1EA400000020	22EE0020	1
01AE	1EA800000020	22F20020	1
01AF	1EB500000020003F	23010020003F	1
01B0	1EB500000020003F	23010020003F	1
01B1	1EDE00000020	232C0020	1
01B2	1EEA00000020	23380020	1
01B3	1F1700000020	23650020	1
01B4	1F1700000020	23650020	1
01B5	1F2600000020	23740020	1
01B6	1F2600000020	23740020	1
01B7	1F3E00000020	238C0020	1
01B8	1F4300000020	23910020	1
01B9	1F4300000020	23910020	1
01BA	1F4800000020	23970020	1
01BB	1F6200000020	23B30020	1
01BC	1F6D00000020	23BE0020	1
01BD	1F6D00000020	23BE0020	1
01BE	1E951E71000000200020	22DF22B600200020	0
01BF	1F5600000020	23A60020	1
01C0	1F9900000020	23EB0020	1
01C1	1F9D00000020	23EF0020	1
01C2	1FA100000020	23F30020	1
01C3	1FA500000020	23F70020	1
01C4	1C8F1F210000002000200028	20BF236F002000200028	0
01C5	1C8F1F210000002000200028	20BF236F002000200028	0
01C6	1C8F1F210000002000200028	20BF236F002000200028	0
01C7	1D771D4C000000200020	21B0218300200020	0
01C8	1D771D4C000000200020	21B0218300200020	0
01C9	1D771D4C000000200020	21B0218300200020	0
01CA	1DB91D4C000000200020	21F7218300200020	0
01CB	1DB91D4C000000200020	21F7218300200020	0
01CC	1DB91D4C000000200020	21F7218300200020	0
01CD	1C47000000200028	207500200028	1
01CE	1C47000000200028	207500200028	1
01CF	1D32000000200028	216700200028	1
01D0	1D32000000200028	216700200028	1
01D1	1DDD000000200028	221D00200028	1
01D2	1DDD000000200028	221D00200028	1
01D3	1EB5000000200028	230100200028	1
01D4	1EB5000000200028	230100200028	1
01D5	1EB500000020002B0032	23010020002B0032	1
01D6	1EB500000020002B0032	23010020002B0032	1
01D7	1EB500000020002B0024	23010020002B0024	1
01D8	1EB500000020002B0024	23010020002B0024	1
01D9	1EB500000020002B0028	23010020002B0028	1
01DA	1EB500000020002B0028	23010020002B0028	1
01DB	1EB500000020002B0025	23010020002B0025	1
01DC	1EB500000020002B0025	23010020002B0025	1
01DD	1CB800000020	20E90020	1
01DE	1C4700000020002B0032	20750020002B0032	1
01DF	1C4700000020002B0032	20750020002B0032	1
01E0	1C4700000020002E0032	20750020002E0032	1
01E1	1C4700000020002E0032	20750020002E0032	1
01E2	1C471CAA00000020011000200032	207520DB0020011800200032	0
01E3	1C471CAA00000020011000200032	207520DB0020011800200032	0
01E4	1D0100000020	21340020	1
01E5	1D0100000020	21340020	1
01E6	1CF4000000200028	212500200028	1
01E7	1CF4000000200028	212500200028	1
01E8	1D65000000200028	219C00200028	1
01E9	1D65000000200028	219C00200028	1
01EA	1DDD000000200031	221D00200031	1
01EB	1DDD000000200031	221D00200031	1
01EC	1DDD0000002000310032	221D002000310032	1
01ED	1DDD0000002000310032	221D002000310032	1
01EE	1F3E000000200028	238C00200028	1
01EF	1F3E000000200028	238C00200028	1
01F0	1D4C000000200028	218300200028	1
01F1	1C8F1F21000000200020	20BF236F00200020	0
01F2	1C8F1F21000000200020	20BF236F00200020	0
01F3	1C8F1F21000000200020	20BF236F00200020	0
01F4	1CF4000000200024	212500200024	1
01F5	1CF4000000200024	212500200024	1
01F6	1D2000000020	21540020	0
01F7	1F5600000020	23A60020	0
01F8	1DB9000000200025	21F700200025	1
01F9	1DB9000000200025	21F700200025	1
01FA	1C470000002000290024	2075002000290024	1
01FB	1C470000002000290024	2075002000290024	1
01FC	1C471CAA00000020011000200024	207520DB0020011800200024	0
01FD	1C471CAA00000020011000200024	207520DB0020011800200024	0
01FE	1DDD00000020002F0024	221D0020002F0024	1
01FF	1DDD00000020002F0024	221D0020002F0024	1
0200	1C4700000020003C	20750020003C	1
0201	1C4700000020003C	20750020003C	1
0202	1C4700000020003E	20750020003E	1
0203	1C4700000020003E	20750020003E	1
0204	1CAA00000020003C	20DB0020003C	1
0205	1CAA00000020003C	20DB0020003C	1
0206	1CAA00000020003E	20DB0020003E	1
0207	1CAA00000020003E	20DB0020003E	1
0208	1D3200000020003C	21670020003C	1
0209	1D3200000020003C	21670020003C	1
020A	1D3200000020003E	21670020003E	1
020B	1D3200000020003E	21670020003E	1
020C	1DDD00000020003C	221D0020003C	1
020D	1DDD00000020003C	221D0020003C	1
020E	1DDD00000020003E	221D0020003E	1
020F	1DDD00000020003E	221D0020003E	1
0210	1E3300000020003C	22750020003C	1
0211	1E3300000020003C	22750020003C	1
0212	1E3300000020003E	22750020003E	1
0213	1E3300000020003E	22750020003E	1
0214	1EB500000020003C	23010020003C	1
0215	1EB500000020003C	23010020003C	1
0216	1EB500000020003E	23010020003E	1
0217	1EB500000020003E	23010020003E	1
0218	1E71000000200045	22B600200045	1
0219	1E71000000200045	22B600200045	1
021A	1E95000000200045	22DF00200045	1
021B	1E95000000200045	22DF00200045	1
021C	1F1D00000020	236B0020	1
021D	1F1D00000020	236B0020	1
021E	1D18000000200028	214C00200028	1
021F	1D18000000200028	214C00200028	1
0220	1DC800000020	22060020	0
0221	1CA400000020	20D50020	1
0222	1E0700000020	22480020	1
0223	1E0700000020	22480020	1
0224	1F2C00000020	237A0020	1
0225	1F2C00000020	237A0020	0
0226	1C4700000020002E	20750020002E	1
0227	1C4700000020002E	20750020002E	1
0228	1CAA000000200030	20DB00200030	1
0229	1CAA000000200030	20DB00200030	1
022A	1DDD00000020002B0032	221D0020002B0032	1
022B	1DDD00000020002B0032	221D0020002B0032	1
022C	1DDD00000020002D0032	221D0020002D0032	1
022D	1DDD00000020002D0032	221D0020002D0032	1
022E	1DDD00000020002E	221D0020002E	1
022F	1DDD00000020002E	221D0020002E	1
0230	1DDD00000020002E0032	221D0020002E0032	1
0231	1DDD00000020002E0032	221D0020002E0032	1
0232	1F0B000000200032	235900200032	1
0233	1F0B000000200032	235900200032	1
0234	1D9800000020	21D40020	1
0235	1DD200000020	22100020	1
0236	1EAC00000020	22F70020	1
0237	1D5000000020	21870020	1
0238	1C8F1C60000000200020	20BF208F00200020	0
0239	1E211E0C000000200020	2262224D00200020	0
023A	1C4C00000020	207A0020	1
023B	1C7F00000020	20AE0020	1
023C	1C7F00000020	20AE0020	1
023D	1D8200000020	21BB0020	0
023E	1E9E00000020	22E80020	1
023F	1E7C00000020	22C30020	1
0240	1F3800000020	23860020	1
0241	1F7900000020	23CA0020	1
0242	1F7900000020	23CA0020	1
0243	1C6800000020	20970020	1
0244	1EC000000020	230C0020	1
0245	1EF100000020	233F0020	1
0246	1CB100000020	20E20020	1
0247	1CB100000020	20E20020	1
0248	1D5500000020	218C0020	1
